"configuration","problem","model","data_file","status","time","flatBoolVars","failures","propagations","run","nSolutions","eliminatedImplications","flatBoolConstraints","evaluatedReifiedConstraints","trailMem","intVariables","blockType","userDecisions","peakMem","backjumps","solutions","flatIntConstraints","objective","evaluatedHalfReifiedConstraints","objectiveBound","paths","extractedViews","method","baseMem","initTime","flatIntVars","variables","solveTime","nodes","restarts","peakDepth","flatTime","intVars","nogoods","randomSeed","oracleDecisions","unifiedVariables","boolVariables","propagators"
"Huub_user_m+o","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/rpp23_false.dzn","SATISFIED","748.0898878434673","17996","3360107","111062060","results_rect","1","44","5764","12276","","109","complete","3364271","","","","19460","","88","","0","18964","satisfy","","0.179692","6803","","746.576158","","0","21","0.741866","","","","0","0","","484"
"Huub_free_m+s","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/rpp21_false.dzn","SATISFIED","1.5984805235639215","13820","3880","191815","results_rect","1","40","4420","9440","","97","complete","2444","","","","15053","","80","","0","14620","satisfy","","0.140601","5283","","0.490655","","27","4420","0.558528","","","","10545","0","","421"
"Huub_free_no_gen_bounds","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp21_true.dzn","SATISFIED","1.614010444842279","14532","3790","183818","results_rect","1","42","4662","9912","","99","complete","2443","","","","15769","","84","","0","15330","satisfy","","0.150282","5523","","0.506091","","27","4661","0.5921","","","","10784","0","","427"
"gecode","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp20_false.dzn","SATISFIED","4.429823502898216","152","138426","5893822","results_rect","1","76","114","","","","","","","","1","225","","152","","0","","satisfy","","0.001935","97","253","4.2207","276878","0","38","0.085953","","","","","","","341"
"Huub_user_diffn","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp16_false.dzn","SATISFIED","0.7172703081741929","6165","1184","53188","results_rect","1","30","1965","4230","","67","complete","1197","","","","6903","","60","","0","6615","satisfy","","0.070325","2458","","0.110673","","0","1948","0.28525","","","","1935","0","","276"
"Huub_user_m+o","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp22_true.dzn","SATISFIED","75.6697972882539","16258","394753","15623905","results_rect","1","44","5214","11088","","105","complete","395409","","","","17603","","88","","0","17138","satisfy","","0.167225","6161","","74.484428","","0","22","0.627208","","","","0","0","","453"
"Huub_free_basic","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp25_true.dzn","SATISFIED","89.20746497623622","23875","406240","19139091","results_rect","1","50","7675","16250","","123","complete","314319","","","","25593","","100","","0","25025","satisfy","","0.254742","8904","","87.592635","","7787","152","0.846835","","","","180563","0","","556"
"Huub_user_diffn","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp16_true.dzn","SATISFIED","0.7802918069064617","6592","1188","53833","results_rect","1","32","2112","4512","","69","complete","1202","","","","7334","","64","","0","7040","satisfy","","0.075431","2603","","0.115329","","0","2094","0.303825","","","","2080","0","","282"
"Huub_user_m+o","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp25_true.dzn","UNKNOWN","1200.6188371209428","23875","4625573","153337354","results_rect","0","50","7675","16250","","123","complete","4629303","","","","25593","","100","","0","25025","satisfy","","0.254267","8904","","1198.853739","","0","16","0.889798","","","","0","0","","556"
"Huub_user_m+o","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp29_false.dzn","UNKNOWN","1200.68350700289","35168","4233631","167792342","results_rect","0","56","11312","23912","","145","complete","4241715","","","","37440","","112","","0","36736","satisfy","","0.37516","12975","","1198.361383","","0","18","1.26117","","","","0","0","","692"
"Huub_user_diffn","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp23_true.dzn","SATISFIED","758.8760719727725","18837","3362144","111535602","results_rect","1","46","6049","12834","","111","complete","3366373","","","","20305","","92","","0","19803","satisfy","","0.196037","7086","","757.540136","","0","22","0.693209","","","","0","0","","490"
"Huub_free_no_gen_bounds","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/rpp23_false.dzn","SATISFIED","64.0439543845132","17996","345799","16650551","results_rect","1","44","5764","12276","","109","complete","233979","","","","19460","","88","","0","18964","satisfy","","0.17853","6803","","62.813663","","11365","915","0.65148","","","","220498","0","","484"
"Huub_user_diffn","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp21_true.dzn","SATISFIED","22.785910670645535","14532","141714","5460576","results_rect","1","42","4662","9912","","99","complete","141978","","","","15769","","84","","0","15330","satisfy","","0.151098","5523","","21.634464","","0","22","0.571474","","","","0","0","","427"
"Huub_free_decomp","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp24_false.dzn","SATISFIED","9.292272887192667","20976","49822","8223595","results_rect","1","46","6647","13616","","115","complete","32804","","","","22556","","1104","","0","21022","satisfy","","0.210716","7527","","7.890725","","1409","1100","0.753922","","","","30013","0","","1522"
"chuffed","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp16_false.dzn","SATISFIED","0.304831650108099","570","1089","483449","results_rect","1","30","225","480","0.02","","","","0.0","25","","596","","60","","0","","satisfy","0.0","0.012","73","6814","0.051","1127","0","12","0.098986","89","1089","-534056838","","","6723","1037"
"gecode","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp23_true.dzn","UNKNOWN","1200.4433905025944","184","30704569","849493616","results_rect","0","92","138","","","","","","","","0","271","","184","","0","","satisfy","","0.071376","117","303","1199.9","61409374","0","63","0.099192","","","","","","","411"
"Huub_user_decomp","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp29_false.dzn","UNKNOWN","1200.8642334025353","36680","4375330","626501117","results_rect","0","56","11690","23912","","145","complete","4383928","","","","38951","","1624","","0","36736","satisfy","","0.389991","12975","","1198.268235","","0","19","1.33791","","","","0","0","","2203"
"Huub_user_m+s","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp16_true.dzn","SATISFIED","0.8091043336316943","6592","1188","53833","results_rect","1","32","2112","4512","","69","complete","1202","","","","7334","","64","","0","7040","satisfy","","0.077741","2603","","0.114165","","0","2094","0.309981","","","","2080","0","","282"
"Huub_user_basic","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp17_false.dzn","SATISFIED","0.783083769492805","7520","1343","53437","results_rect","1","32","2400","5152","","73","complete","1356","","","","8350","","64","","0","8032","satisfy","","0.083063","2959","","0.119277","","0","2381","0.326173","","","","2368","0","","306"
"Huub_user_m+s","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp19_true.dzn","SATISFIED","3.775859103538096","10963","22184","857576","results_rect","1","38","3515","7486","","87","complete","22264","","","","11989","","76","","0","11609","satisfy","","0.119472","4216","","2.744086","","0","21","0.432076","","","","0","0","","368"
"Huub_user_m+o","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp17_false.dzn","SATISFIED","0.8753979112952948","7520","1343","53437","results_rect","1","32","2400","5152","","73","complete","1356","","","","8350","","64","","0","8032","satisfy","","0.084792","2959","","0.122998","","0","2381","0.327922","","","","2368","0","","306"
"Huub_free_no_gen_bounds","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp16_true.dzn","SATISFIED","0.7634885963052511","6592","1360","66628","results_rect","1","32","2112","4512","","69","complete","1077","","","","7334","","64","","0","7040","satisfy","","0.073981","2603","","0.135532","","83","2108","0.297301","","","","2614","0","","282"
"Huub_free_no_gen_bounds","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp25_false.dzn","SATISFIED","23.556656911969185","22896","101858","5213890","results_rect","1","48","7344","15600","","121","complete","79649","","","","24610","","96","","0","24048","satisfy","","0.241221","8575","","21.853111","","2003","203","0.896298","","","","47485","0","","550"
"chuffed","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp21_false.dzn","SATISFIED","17.894776268862188","960","132118","55491142","results_rect","1","40","350","840","0.04","","","","0.0","4540","","996","","80","","0","","satisfy","0.0","0.024","103","14274","17.58","136679","0","20","0.116479","124","132118","-821550734","","","14148","1787"
"Huub_user_no_gen_bounds","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp20_true.dzn","SATISFIED","4.535881743766367","12420","24612","1009780","results_rect","1","40","3980","8480","","93","complete","24695","","","","13545","","80","","0","13140","satisfy","","0.129698","4759","","3.527255","","0","21","0.516653","","","","0","0","","393"
"Huub_free_no_gen_bounds","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp29_false.dzn","SATISFIED","30.400264379568398","35168","130642","7403550","results_rect","1","56","11312","23912","","145","complete","107630","","","","37440","","112","","0","36736","satisfy","","0.378364","12975","","28.078207","","3875","98","1.25345","","","","62609","0","","692"
"Huub_free_basic","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp29_false.dzn","SATISFIED","46.66049950290471","35168","207471","10540953","results_rect","1","56","11312","23912","","145","complete","137315","","","","37440","","112","","0","36736","satisfy","","0.373088","12975","","44.252999","","3163","1923","1.34534","","","","108058","0","","692"
"Huub_free_no_gen_bounds","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp16_false.dzn","SATISFIED","0.8893460715189576","6165","1360","66248","results_rect","1","30","1965","4230","","67","complete","1076","","","","6903","","60","","0","6615","satisfy","","0.070229","2458","","0.131376","","83","1957","0.31915","","","","2463","0","","276"
"gecode","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp21_true.dzn","SATISFIED","48.28376539517194","168","1426665","47449353","results_rect","1","84","126","","","","","","","","1","247","","168","","0","","satisfy","","0.002087","105","275","48.0703","2853398","0","56","0.089741","","","","","","","375"
"Huub_user_m+s","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp18_false.dzn","SATISFIED","3.4537192257121205","8636","24671","904956","results_rect","1","34","2754","5916","","79","complete","24728","","","","9555","","68","","0","9214","satisfy","","0.095147","3383","","2.649729","","0","18","0.363946","","","","0","0","","329"
"Huub_free_basic","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp18_true.dzn","SATISFIED","1.352824074216187","9162","4482","244690","results_rect","1","36","2934","6264","","81","complete","2664","","","","10085","","72","","0","9738","satisfy","","0.098238","3561","","0.539218","","73","2940","0.38588","","","","8032","0","","335"
"Huub_free_basic","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp19_true.dzn","SATISFIED","2.5490396451205015","10963","14331","601825","results_rect","1","38","3515","7486","","87","complete","10305","","","","11989","","76","","0","11609","satisfy","","0.114158","4216","","1.683971","","287","327","0.450506","","","","5582","0","","368"
"gecode","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp17_false.dzn","SATISFIED","0.33459437172859907","128","4093","205015","results_rect","1","64","96","","","","","","","","1","189","","128","","0","","satisfy","","0.001733","79","211","0.105675","8209","0","29","0.095315","","","","","","","287"
"cp-sat","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp17_false.dzn","ALL_SOLUTIONS","0.34127500373870134","128","1674","85732","results_rect","1","64","96","","","","","","","","","189","0","128","0","0","","satisfy","","","79","","0.095803","","","","0.101669","","","","","","136",""
"Huub_free_m+s","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp17_false.dzn","SATISFIED","0.8448220770806074","7520","1606","69152","results_rect","1","32","2400","5152","","73","complete","1305","","","","8350","","64","","0","8032","satisfy","","0.085147","2959","","0.143161","","86","2381","0.331502","","","","2931","0","","306"
"chuffed","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp24_true.dzn","SATISFIED","905.4448583172634","1344","5398849","2690601105","results_rect","1","48","468","1200","0.05","","","","0.0","191738","","1386","","96","","0","","satisfy","0.0","0.035","123","21012","904.999","5590612","0","29","0.132273","148","5398849","-201246740","","","20862","2527"
"Huub_free_diffn","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp18_true.dzn","SATISFIED","2.579467775300145","9162","15572","679051","results_rect","1","36","2934","6264","","81","complete","11546","","","","10085","","72","","0","9738","satisfy","","0.099625","3561","","1.779495","","331","2937","0.372178","","","","11757","0","","335"
"Huub_free_basic","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp16_true.dzn","SATISFIED","0.7545426357537508","6592","1339","64767","results_rect","1","32","2112","4512","","69","complete","1087","","","","7334","","64","","0","7040","satisfy","","0.073982","2603","","0.121473","","79","2101","0.304243","","","","2581","0","","282"
"Huub_user_m+s","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp27_true.dzn","UNKNOWN","1200.6348249232396","29781","4223490","157564133","results_rect","0","54","9585","20250","","135","complete","4232993","","","","31769","","108","","0","31131","satisfy","","0.321161","11022","","1198.504255","","0","19","1.17073","","","","0","0","","626"
"Huub_free_diffn","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp30_true.dzn","SATISFIED","58.75075784511864","39570","230759","11955313","results_rect","1","60","12750","26880","","153","complete","149078","","","","41991","","120","","0","41250","satisfy","","0.418467","14529","","56.217153","","2385","2005","1.37325","","","","115256","0","","729"
"Huub_user_m+s","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/rpp26_false.dzn","UNKNOWN","1200.618780421093","25175","4497845","150411137","results_rect","0","50","8075","17150","","127","complete","4503627","","","","27015","","100","","0","26425","satisfy","","0.264953","9408","","1198.716123","","0","16","1.016189","","","","0","0","","578"
"Huub_user_m+o","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/rpp26_false.dzn","UNKNOWN","1200.5734189171344","25175","4362034","145885201","results_rect","0","50","8075","17150","","127","complete","4367719","","","","27015","","100","","0","26425","satisfy","","0.261704","9408","","1198.822944","","0","16","0.913091","","","","0","0","","578"
"Huub_free_m+o","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp17_false.dzn","SATISFIED","0.9183644764125347","7520","1606","69152","results_rect","1","32","2400","5152","","73","complete","1305","","","","8350","","64","","0","8032","satisfy","","0.083216","2959","","0.147413","","86","2381","0.333459","","","","2931","0","","306"
"Huub_user_decomp","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp25_true.dzn","UNKNOWN","1200.6218760106713","25075","4923480","570261613","results_rect","0","50","7975","16250","","123","complete","4927331","","","","26792","","1300","","0","25025","satisfy","","0.272458","8904","","1198.824345","","0","16","0.90097","","","","0","0","","1755"
"gecode","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/rpp21_false.dzn","SATISFIED","44.524399355985224","160","1386014","43906128","results_rect","1","80","120","","","","","","","","1","237","","160","","0","","satisfy","","0.002101","103","267","44.2597","2772093","0","51","0.093414","","","","","","","359"
"Huub_user_basic","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp24_false.dzn","UNKNOWN","1200.5684017892927","19964","4997175","166345796","results_rect","0","46","6394","13616","","115","complete","5001095","","","","21545","","92","","0","21022","satisfy","","0.204853","7527","","1199.060529","","0","18","0.732534","","","","0","0","","511"
"gecode","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp30_false.dzn","UNKNOWN","1200.2793068569154","232","24937937","1094498491","results_rect","0","116","174","","","","","","","","0","345","","232","","0","","satisfy","","0.006983","157","393","1199.88","49875885","0","61","0.120975","","","","","","","521"
"cp-sat","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/rpp26_false.dzn","UNKNOWN","1200.2632025545463","200","","","results_rect","0","100","150","","","","","","","","","297","","200","","0","","satisfy","","","133","","","","","","0.102597","","","","","","",""
"Huub_user_m+s","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp24_false.dzn","UNKNOWN","1200.5131497988477","19964","4950939","164651297","results_rect","0","46","6394","13616","","115","complete","4954824","","","","21545","","92","","0","21022","satisfy","","0.205369","7527","","1199.063897","","0","18","0.729361","","","","0","0","","511"
"Huub_free_basic","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp27_false.dzn","SATISFIED","7.390032169409096","28652","20745","1412195","results_rect","1","52","9204","19500","","133","complete","15146","","","","30636","","104","","0","30004","satisfy","","0.308492","10643","","5.363287","","227","2543","1.12787","","","","10645","0","","620"
"Huub_user_no_gen_bounds","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp28_true.dzn","UNKNOWN","1200.6589846797287","32452","3812403","152940754","results_rect","0","56","10444","22064","","141","complete","3814898","","","","34575","","112","","0","33908","satisfy","","0.345387","11991","","1198.478692","","0","16","1.17484","","","","0","0","","655"
"Huub_free_diffn","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp29_false.dzn","SATISFIED","52.58303975313902","35168","230052","11439619","results_rect","1","56","11312","23912","","145","complete","169169","","","","37440","","112","","0","36736","satisfy","","0.376477","12975","","50.237305","","2619","1744","1.27082","","","","91334","0","","692"
"gecode","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp30_true.dzn","UNKNOWN","1200.2908225441352","240","25460421","1105509157","results_rect","0","120","180","","","","","","","","0","355","","240","","0","","satisfy","","0.008723","159","401","1199.88","50920858","0","61","0.118128","","","","","","","537"
"gecode","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp25_true.dzn","UNKNOWN","1200.1693656602874","200","27657983","806204655","results_rect","0","100","150","","","","","","","","0","295","","200","","0","","satisfy","","0.003917","129","331","1199.9","55316160","0","55","0.097231","","","","","","","447"
"Huub_user_decomp","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp24_false.dzn","UNKNOWN","1200.4910309771076","20976","4955510","552788588","results_rect","0","46","6647","13616","","115","complete","4959551","","","","22556","","1104","","0","21022","satisfy","","0.218207","7527","","1198.942951","","0","19","0.835042","","","","0","0","","1522"
"Huub_user_decomp","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp26_false.dzn","UNKNOWN","1200.5426016189158","26375","4484153","526427606","results_rect","0","50","8375","17150","","127","complete","4489956","","","","28214","","1300","","0","26425","satisfy","","0.275624","9408","","1198.741239","","0","16","0.980638","","","","0","0","","1777"
"Huub_user_m+s","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp28_false.dzn","UNKNOWN","1200.7707723388448","31266","3888423","155080049","results_rect","0","54","10044","21276","","139","complete","3890932","","","","33385","","108","","0","32724","satisfy","","0.336494","11593","","1198.484413","","0","16","1.16055","","","","0","0","","649"
"Huub_free_m+o","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp29_true.dzn","SATISFIED","8.796098883263767","36453","20931","1666493","results_rect","1","58","11745","24766","","147","complete","12592","","","","38729","","116","","0","38019","satisfy","","0.392136","13406","","6.314567","","463","2345","1.36796","","","","16043","0","","698"
"Huub_free_no_gen_bounds","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp28_true.dzn","SATISFIED","13.061943515203893","32452","47178","2556983","results_rect","1","56","10444","22064","","141","complete","37771","","","","34575","","112","","0","33908","satisfy","","0.343449","11991","","10.882483","","925","1968","1.20249","","","","20444","0","","655"
"Huub_user_decomp","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp17_true.dzn","SATISFIED","0.8882787534967065","8551","1343","145135","results_rect","1","34","2703","5474","","75","complete","1358","","","","9384","","612","","0","8517","satisfy","","0.094683","3124","","0.118453","","0","3155","0.392407","","","","3140","0","","852"
"Huub_user_diffn","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp19_true.dzn","SATISFIED","3.7534654941409826","10963","22195","858378","results_rect","1","38","3515","7486","","87","complete","22271","","","","11989","","76","","0","11609","satisfy","","0.119963","4216","","2.768263","","0","21","0.470862","","","","0","0","","368"
"Huub_free_basic","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp20_false.dzn","SATISFIED","1.4693613052368164","11780","3502","166819","results_rect","1","38","3762","8056","","91","complete","2606","","","","12901","","76","","0","12502","satisfy","","0.123852","4543","","0.460069","","27","61","0.500604","","","","1160","0","","387"
"Huub_free_m+o","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp27_false.dzn","SATISFIED","12.907341439276934","28652","48091","3496740","results_rect","1","52","9204","19500","","133","complete","39355","","","","30636","","104","","0","30004","satisfy","","0.304272","10643","","10.825184","","1577","2481","1.14444","","","","27724","0","","620"
"Huub_free_m+s","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp25_false.dzn","SATISFIED","27.404243054799736","22896","117683","6308236","results_rect","1","48","7344","15600","","121","complete","90666","","","","24610","","96","","0","24048","satisfy","","0.241995","8575","","25.762135","","2821","125","0.83998","","","","62322","0","","550"
"Huub_user_no_gen_bounds","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp28_false.dzn","UNKNOWN","1200.6184297716245","31266","3863283","154549813","results_rect","0","54","10044","21276","","139","complete","3865786","","","","33385","","108","","0","32724","satisfy","","0.334048","11593","","1198.552469","","0","16","1.11164","","","","0","0","","649"
"Huub_free_m+s","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp26_true.dzn","SATISFIED","11.182292932644486","26208","51158","2447121","results_rect","1","52","8424","17836","","129","complete","36603","","","","28052","","104","","0","27456","satisfy","","0.273096","9755","","9.426749","","1027","1536","0.970209","","","","23644","0","","584"
"gecode","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp25_false.dzn","UNKNOWN","1200.2553696697578","192","29640136","864241681","results_rect","0","96","144","","","","","","","","0","285","","192","","0","","satisfy","","0.007085","127","323","1199.89","59280462","0","55","0.1067","","","","","","","431"
"Huub_user_basic","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp26_false.dzn","UNKNOWN","1200.5723043754697","25175","4884925","163049651","results_rect","0","50","8075","17150","","127","complete","4891130","","","","27015","","100","","0","26425","satisfy","","0.261189","9408","","1198.791991","","0","16","0.946173","","","","0","0","","578"
"Huub_free_diffn","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp26_true.dzn","SATISFIED","5.658065571449697","26208","19628","989412","results_rect","1","52","8424","17836","","129","complete","14162","","","","28052","","104","","0","27456","satisfy","","0.275361","9755","","3.827225","","207","1536","0.989743","","","","8707","0","","584"
"Huub_free_diffn","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp16_false.dzn","SATISFIED","0.8856110107153654","6165","1347","66359","results_rect","1","30","1965","4230","","67","complete","1097","","","","6903","","60","","0","6615","satisfy","","0.070712","2458","","0.124619","","81","1952","0.3013","","","","2436","0","","276"
"Huub_free_diffn","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp27_false.dzn","SATISFIED","12.7182905562222","28652","48091","3496740","results_rect","1","52","9204","19500","","133","complete","39355","","","","30636","","104","","0","30004","satisfy","","0.304818","10643","","10.659008","","1577","2481","1.14269","","","","27724","0","","620"
"Huub_user_m+o","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp20_true.dzn","SATISFIED","4.828710025176406","12420","25464","1095974","results_rect","1","40","3980","8480","","93","complete","25544","","","","13545","","80","","0","13140","satisfy","","0.131169","4759","","3.82258","","0","21","0.519638","","","","0","0","","393"
"Huub_free_no_gen_bounds","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp19_true.dzn","SATISFIED","3.0102916825562716","10963","14697","634898","results_rect","1","38","3515","7486","","87","complete","10303","","","","11989","","76","","0","11609","satisfy","","0.119388","4216","","1.999775","","285","121","0.438009","","","","5848","0","","368"
"Huub_free_no_gen_bounds","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp26_true.dzn","SATISFIED","10.936653140932322","26208","47662","2321394","results_rect","1","52","8424","17836","","129","complete","35456","","","","28052","","104","","0","27456","satisfy","","0.280564","9755","","9.138131","","1125","1536","0.977586","","","","22790","0","","584"
"cp-sat","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp21_true.dzn","ALL_SOLUTIONS","12.65414922311902","168","209023","15942264","results_rect","1","84","126","","","","","","","","","247","0","168","0","0","","satisfy","","","105","","12.4314","","","","0.088175","","","","","","345",""
"Huub_user_diffn","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp27_true.dzn","UNKNOWN","1200.6078852918","29781","4298102","160582145","results_rect","0","54","9585","20250","","135","complete","4307782","","","","31769","","108","","0","31131","satisfy","","0.31745","11022","","1198.606059","","0","19","1.07298","","","","0","0","","626"
"chuffed","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp22_true.dzn","SATISFIED","52.096319111064076","1144","374587","181971389","results_rect","1","44","407","1012","0.05","","","","0.0","17383","","1182","","88","","0","","satisfy","0.0","0.028","111","16636","51.618","391997","0","26","0.139514","134","374587","-940662887","","","16500","2139"
"cp-sat","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp23_true.dzn","ALL_SOLUTIONS","431.9910343596712","184","6160289","575959965","results_rect","1","92","138","","","","","","","","","271","0","184","0","0","","satisfy","","","117","","431.408","","","","0.093321","","","","","","645",""
"Huub_user_m+o","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/rpp22_false.dzn","SATISFIED","71.56420654989779","15498","395660","15585746","results_rect","1","42","4956","10584","","103","complete","396284","","","","16839","","84","","0","16380","satisfy","","0.160024","5905","","70.386474","","0","20","0.586641","","","","0","0","","447"
"Huub_free_m+s","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp30_false.dzn","SATISFIED","766.0485572973266","38222","2585994","137873742","results_rect","1","58","12296","25984","","151","complete","1966892","","","","40639","","116","","0","39904","satisfy","","0.401533","14077","","763.565808","","57445","3007","1.33504","","","","1250057","0","","723"
"Huub_free_diffn","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp23_false.dzn","SATISFIED","8.203956590034068","17996","43512","2253827","results_rect","1","44","5764","12276","","109","complete","33231","","","","19460","","88","","0","18964","satisfy","","0.187231","6803","","6.853332","","1579","915","0.718804","","","","23091","0","","484"
"Huub_free_m+o","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp19_false.dzn","SATISFIED","2.6874840147793293","10368","14320","599375","results_rect","1","36","3312","7092","","85","complete","10237","","","","11390","","72","","0","11016","satisfy","","0.11445","4015","","1.767946","","291","270","0.427112","","","","5616","0","","362"
"Huub_free_m+o","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp30_false.dzn","SATISFIED","63.52256769128144","38222","235921","12746130","results_rect","1","58","12296","25984","","151","complete","156573","","","","40639","","116","","0","39904","satisfy","","0.404441","14077","","60.767375","","1845","2494","1.43255","","","","105774","0","","723"
"Huub_free_m+o","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp25_false.dzn","SATISFIED","6.815147722139955","22896","23674","1427045","results_rect","1","48","7344","15600","","121","complete","19033","","","","24610","","96","","0","24048","satisfy","","0.239701","8575","","5.191755","","763","194","0.837766","","","","14235","0","","550"
"Huub_user_basic","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp18_true.dzn","SATISFIED","3.362987528555095","9162","24688","908237","results_rect","1","36","2934","6264","","81","complete","24758","","","","10085","","72","","0","9738","satisfy","","0.097846","3561","","2.632473","","0","19","0.37037","","","","0","0","","335"
