"configuration","problem","model","data_file","status","time","flatTime","nSolutions","nogoods","extractedViews","propagations","boolVariables","evaluatedHalfReifiedConstraints","oracleDecisions","userDecisions","run","flatBoolConstraints","nodes","intVars","failures","intVariables","unifiedVariables","evaluatedReifiedConstraints","flatIntConstraints","paths","baseMem","backjumps","peakDepth","restarts","flatIntVars","solutions","variables","method","randomSeed","initTime","trailMem","flatBoolVars","eliminatedImplications","propagators","blockType","peakMem","objective","solveTime","objectiveBound"
"Huub_user_basic","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp21_false.dzn","SATISFIED","22.54312029387802","0.58296","1","","14620","5432923","","80","0","141840","results_rect","4420","","","141576","97","0","9440","15053","0","","","21","0","5283","","","satisfy","","0.145302","","13820","40","421","complete","","","21.453269",""
"Huub_free_no_gen_bounds","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp27_true.dzn","SATISFIED","25.556892341002822","1.08837","1","","31131","4722580","","108","50255","56215","results_rect","9585","","","91485","135","0","20250","31769","0","","","1710","1217","11022","","","satisfy","","0.321677","","29781","54","626","complete","","","23.551485",""
"Huub_user_s+o","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/rpp18_true.dzn","SATISFIED","3.6360150584951043","0.380131","1","","9738","906639","","72","0","24757","results_rect","2934","","","24692","81","0","6264","10085","0","","","19","0","3561","","","satisfy","","0.09735","","9162","36","335","complete","","","2.782934",""
"Huub_free_decomp","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp24_true.dzn","SATISFIED","41.98248707130551","0.807436","1","","21912","33147858","","1200","125456","136282","results_rect","6972","","","200401","117","0","14208","23544","0","","","1124","4773","7827","","","satisfy","","0.234277","","21960","48","1620","complete","","","40.373936",""
"Huub_user_no_gen_bounds","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp23_false.dzn","SATISFIED","754.3804151220247","0.686567","1","","18964","111059495","","88","0","3365755","results_rect","5764","","","3361413","109","0","12276","19460","0","","","21","0","6803","","","satisfy","","0.192232","","17996","44","484","complete","","","752.909249",""
"Huub_user_no_gen_bounds","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp16_true.dzn","SATISFIED","0.7891499511897564","0.311458","1","","7040","52984","","64","2080","1203","results_rect","2112","","","1189","69","0","4512","7334","0","","","2094","0","2603","","","satisfy","","0.074358","","6592","32","282","complete","","","0.113809",""
"Huub_vsids_s+o","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp22_true.dzn","SATISFIED","1.9629648635163903","0.632559","1","","17138","232876","","88","8679","0","results_rect","5214","","","3063","105","0","11088","17603","0","","","5219","2","6161","","","satisfy","","0.168633","","16258","44","453","complete","","","0.698193",""
"cp-sat","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp21_false.dzn","ALL_SOLUTIONS","13.314958069473505","0.098319","1","","","15874730","324","160","","","results_rect","120","","","209027","","","","237","0","","","","","103","","","satisfy","","","","160","80","","","","0","12.9323","0"
"Huub_user_no_gen_bounds","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/rpp23_false.dzn","SATISFIED","763.5526367090642","0.658061","1","","18964","111059495","","88","0","3365755","results_rect","5764","","","3361413","109","0","12276","19460","0","","","21","0","6803","","","satisfy","","0.192739","","17996","44","484","complete","","","762.2622",""
"Huub_user_no_gen_bounds","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp21_false.dzn","SATISFIED","22.04090642556548","0.58592","1","","14620","5433107","","80","0","141950","results_rect","4420","","","141688","97","0","9440","15053","0","","","21","0","5283","","","satisfy","","0.147687","","13820","40","421","complete","","","20.882385",""
"Huub_free_basic","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp23_true.dzn","SATISFIED","7.535833662375808","0.763666","1","","19803","1981426","","92","16171","33471","results_rect","6049","","","39757","111","0","12834","20305","0","","","83","1291","7086","","","satisfy","","0.194525","","18837","46","490","complete","","","6.155243",""
"Huub_user_decomp","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/rpp26_false.dzn","UNKNOWN","1200.5419855937362","0.99689","0","","26425","538720992","","1300","0","4597245","results_rect","8375","","","4591273","127","0","17150","28214","0","","","16","0","9408","","","satisfy","","0.276191","","26375","50","1777","complete","","","1198.723455",""
"Huub_vsids_decomp","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp25_false.dzn","SATISFIED","2.2330245468765497","0.874579","1","","24048","716392","","1200","28875","0","results_rect","7620","","","2771","121","0","15600","25713","0","","","8707","7","8575","","","satisfy","","0.246321","","24000","48","1653","complete","","","0.544048",""
"Huub_free_s+o","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp19_false.dzn","SATISFIED","2.066793634556234","0.416213","1","","11016","433288","","72","3240","7909","results_rect","3312","","","10042","85","0","7092","11390","0","","","73","257","4015","","","satisfy","","0.111955","","10368","36","362","complete","","","1.25346",""
"Huub_free_m+s","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp16_false.dzn","SATISFIED","0.67512789927423","0.267136","1","","6615","65596","","60","2469","1076","results_rect","1965","","","1368","67","0","4230","6903","0","","","1950","83","2458","","","satisfy","","0.065553","","6165","30","276","complete","","","0.130774",""
"cp-sat","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp26_true.dzn","UNKNOWN","1200.6141245467588","0.105026","0","","","","","208","","","results_rect","156","","","","","","","307","0","","","","","135","","","satisfy","","","","208","104","","","","","",""
"Huub_user_basic","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/rpp22_false.dzn","SATISFIED","74.7687341272831","0.589094","1","","16380","15816542","","84","0","398242","results_rect","4956","","","397579","103","0","10584","16839","0","","","21","0","5905","","","satisfy","","0.162035","","15498","42","447","complete","","","73.590788",""
"Huub_vsids_basic","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp17_false.dzn","SATISFIED","0.7571328189224005","0.32939","1","","8032","55211","","64","3561","0","results_rect","2400","","","867","73","0","5152","8350","0","","","2395","6","2959","","","satisfy","","0.082637","","7520","32","306","complete","","","0.100588",""
"Huub_vsids_basic","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp24_false.dzn","SATISFIED","2.101572411134839","0.80616","1","","21022","222486","","92","15823","0","results_rect","6394","","","2585","115","0","13616","21545","0","","","6479","1","7527","","","satisfy","","0.203692","","19964","46","511","complete","","","0.482354",""
"Huub_user_s+o","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/rpp22_false.dzn","SATISFIED","75.05453958362341","0.611803","1","","16380","15605900","","84","0","397031","results_rect","4956","","","396372","103","0","10584","16839","0","","","21","0","5905","","","satisfy","","0.162186","","15498","42","447","complete","","","73.815907",""
"Huub_free_decomp","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp25_true.dzn","SATISFIED","42.955210914835334","0.911936","1","","25025","32490465","","1300","103557","149053","results_rect","7975","","","193280","123","0","16250","26792","0","","","605","4505","8904","","","satisfy","","0.263824","","25075","50","1755","complete","","","41.245913",""
"Huub_free_basic","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp30_false.dzn","SATISFIED","722.5538800610229","1.39165","1","","39904","133719370","","116","1289846","1919632","results_rect","12296","","","2534035","151","0","25984","40639","0","","","2542","57321","14077","","","satisfy","","0.400377","","38222","58","723","complete","","","720.005624",""
"gecode","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp22_true.dzn","SATISFIED","402.90620542503893","0.091181","1","","","398103833","","176","","","results_rect","132","19471712","","9735771","","","","259","0","","","66","0","111","1","289","satisfy","","0.004157","","176","88","393","","","","402.654",""
"Huub_user_basic","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp23_false.dzn","SATISFIED","774.702763739042","0.694365","1","","18964","111745744","","88","0","3372443","results_rect","5764","","","3368329","109","0","12276","19460","0","","","21","0","6803","","","satisfy","","0.189448","","17996","44","484","complete","","","773.247201",""
"Huub_free_basic","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp18_false.dzn","SATISFIED","1.2547310143709183","0.363269","1","","9214","242990","","68","7673","2663","results_rect","2754","","","4482","79","0","5916","9555","0","","","2761","73","3383","","","satisfy","","0.093887","","8636","34","329","complete","","","0.525236",""
"Huub_user_m+s","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/rpp21_false.dzn","SATISFIED","22.75884167291224","0.542878","1","","14620","5436794","","80","0","141890","results_rect","4420","","","141625","97","0","9440","15053","0","","","21","0","5283","","","satisfy","","0.143809","","13820","40","421","complete","","","21.637024",""
"chuffed","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp29_false.dzn","UNKNOWN","1200.2513800403103","0.143048","0","6416762","","3923837726","32024","112","","","results_rect","602","6721053","180","6416762","","","1624","1844","0","0.0","304277","20","0","151","","32206","satisfy","656381995","0.051","0.05","1792","56","3403","","0.0","","1199.854",""
"Huub_free_decomp","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp22_false.dzn","SATISFIED","35.16590317431837","0.654378","1","","16380","27359535","","924","101640","134620","results_rect","5166","","","203489","103","0","10584","17678","0","","","541","4361","5905","","","satisfy","","0.172961","","16338","42","1286","complete","","","33.949849",""
"Huub_user_m+o","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/rpp23_false.dzn","SATISFIED","762.7050145156682","0.665655","1","","18964","111059495","","88","0","3365755","results_rect","5764","","","3361413","109","0","12276","19460","0","","","21","0","6803","","","satisfy","","0.181673","","17996","44","484","complete","","","761.347298",""
"Huub_free_m+s","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/rpp21_false.dzn","SATISFIED","1.5046906163915992","0.521537","1","","14620","177973","","80","10470","2445","results_rect","4420","","","3826","97","0","9440","15053","0","","","4420","27","5283","","","satisfy","","0.135781","","13820","40","421","complete","","","0.496836",""
"Huub_vsids_decomp","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp20_true.dzn","SATISFIED","1.349250890314579","0.537581","1","","13140","458660","","840","12488","0","results_rect","4170","","","2595","93","0","8480","14304","0","","","4926","3","4759","","","satisfy","","0.141067","","13180","40","1151","complete","","","0.327279",""
"Huub_vsids_basic","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp29_true.dzn","SATISFIED","2.6583950221538544","1.29638","1","","38019","92777","","116","21482","0","results_rect","11745","","","380","147","0","24766","38729","0","","","11939","5","13406","","","satisfy","","0.383599","","36453","58","698","complete","","","0.27366",""
"Huub_free_no_gen_bounds","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp21_true.dzn","SATISFIED","1.662364094518125","0.562336","1","","15330","183818","","84","10784","2443","results_rect","4662","","","3790","99","0","9912","15769","0","","","4661","27","5523","","","satisfy","","0.150598","","14532","42","427","complete","","","0.597977",""
"gecode","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp20_false.dzn","SATISFIED","4.429823502898216","0.085953","1","","","5893822","","152","","","results_rect","114","276878","","138426","","","","225","0","","","38","0","97","1","253","satisfy","","0.001935","","152","76","341","","","","4.2207",""
"Huub_vsids_decomp","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/rpp21_false.dzn","SATISFIED","1.1990948002785444","0.564063","1","","14620","217975","","840","6624","0","results_rect","4610","","","928","97","0","9440","15812","0","","","5431","3","5283","","","satisfy","","0.149664","","14580","40","1179","complete","","","0.137774",""
"Huub_vsids_basic","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/rpp23_false.dzn","SATISFIED","1.658331940881908","0.646182","1","","18964","203562","","88","20306","0","results_rect","5764","","","2626","109","0","12276","19460","0","","","5788","3","6803","","","satisfy","","0.176797","","17996","44","484","complete","","","0.417106",""
"Huub_vsids_no_gen_bounds","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp27_true.dzn","SATISFIED","2.3035275917500257","1.08116","1","","31131","58264","","108","17156","0","results_rect","9585","","","296","135","0","20250","31769","0","","","9736","2","11022","","","satisfy","","0.320009","","29781","54","626","complete","","","0.177202",""
"Huub_user_m+o","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp22_true.dzn","SATISFIED","74.95752516575158","0.620824","1","","17138","15571614","","88","0","395084","results_rect","5214","","","394400","105","0","11088","17603","0","","","22","0","6161","","","satisfy","","0.170989","","16258","44","453","complete","","","73.773195",""
"Huub_free_basic","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp25_true.dzn","SATISFIED","90.1107980683446","0.904404","1","","25025","19139091","","100","180563","314319","results_rect","7675","","","406240","123","0","16250","25593","0","","","152","7787","8904","","","satisfy","","0.255205","","23875","50","556","complete","","","88.424974",""
"Huub_user_m+o","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp25_true.dzn","UNKNOWN","1200.505668926984","0.844579","0","","25025","156091067","","100","0","4707243","results_rect","7675","","","4703473","123","0","16250","25593","0","","","16","0","8904","","","satisfy","","0.251825","","23875","50","556","complete","","","1198.901308",""
"Huub_vsids_m+s","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp26_true.dzn","SATISFIED","3.46960530243814","0.959577","1","","27456","410927","","104","15845","0","results_rect","8424","","","4717","129","0","17836","28052","0","","","8603","18","9755","","","satisfy","","0.274613","","26208","52","584","complete","","","1.721479",""
"Huub_user_m+o","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp29_false.dzn","UNKNOWN","1200.8190761553124","1.31023","0","","36736","171033737","","112","0","4322343","results_rect","11312","","","4314075","145","0","23912","37440","0","","","18","0","12975","","","satisfy","","0.371477","","35168","56","692","complete","","","1198.31397",""
"Huub_free_s+o","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp16_true.dzn","SATISFIED","0.7362713534384966","0.298462","1","","7040","66628","","64","2614","1077","results_rect","2112","","","1360","69","0","4512","7334","0","","","2108","83","2603","","","satisfy","","0.073565","","6592","32","282","complete","","","0.135765",""
"Huub_free_no_gen_bounds","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/rpp23_false.dzn","SATISFIED","70.67815025895834","0.657652","1","","18964","16650551","","88","220498","233979","results_rect","5764","","","345799","109","0","12276","19460","0","","","915","11365","6803","","","satisfy","","0.178457","","17996","44","484","complete","","","69.324024",""
"Huub_free_decomp","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp24_false.dzn","SATISFIED","9.886445794254541","0.845109","1","","21022","8223595","","1104","30013","32804","results_rect","6647","","","49822","115","0","13616","22556","0","","","1100","1409","7527","","","satisfy","","0.213315","","20976","46","1522","complete","","","8.364703",""
"chuffed","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp16_false.dzn","SATISFIED","0.304831650108099","0.098986","1","1089","","483449","6723","60","","","results_rect","225","1127","89","1089","","","480","596","0","0.0","25","12","0","73","","6814","satisfy","-534056838","0.012","0.02","570","30","1037","","0.0","","0.051",""
"gecode","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp23_true.dzn","UNKNOWN","1200.4433905025944","0.099192","0","","","849493616","","184","","","results_rect","138","61409374","","30704569","","","","271","0","","","63","0","117","0","303","satisfy","","0.071376","","184","92","411","","","","1199.9",""
"Huub_vsids_m+o","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp25_false.dzn","SATISFIED","2.3594554606825113","0.800969","1","","24048","289124","","96","18110","0","results_rect","7344","","","2973","121","0","15600","24610","0","","","7406","3","8575","","","satisfy","","0.238147","","22896","48","550","complete","","","0.854045",""
"Huub_user_decomp","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp29_false.dzn","UNKNOWN","1200.7079491559416","1.29464","0","","36736","617573000","","1624","0","4320845","results_rect","11690","","","4312391","145","0","23912","38951","0","","","19","0","12975","","","satisfy","","0.388643","","36680","56","2203","complete","","","1198.31569",""
"Huub_user_m+s","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp16_true.dzn","SATISFIED","0.7874880181625485","0.309653","1","","7040","53833","","64","2080","1202","results_rect","2112","","","1188","69","0","4512","7334","0","","","2094","0","2603","","","satisfy","","0.076933","","6592","32","282","complete","","","0.11514",""
"Huub_user_basic","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp17_false.dzn","SATISFIED","0.7845280393958092","0.325816","1","","8032","53437","","64","2368","1356","results_rect","2400","","","1343","73","0","5152","8350","0","","","2381","0","2959","","","satisfy","","0.083198","","7520","32","306","complete","","","0.120991",""
"Huub_user_m+s","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp19_true.dzn","SATISFIED","3.7496755002066493","0.470815","1","","11609","857576","","76","0","22264","results_rect","3515","","","22184","87","0","7486","11989","0","","","21","0","4216","","","satisfy","","0.122329","","10963","38","368","complete","","","2.799098",""
"Huub_user_m+o","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp17_false.dzn","SATISFIED","0.7856080839410424","0.328416","1","","8032","53437","","64","2368","1356","results_rect","2400","","","1343","73","0","5152","8350","0","","","2381","0","2959","","","satisfy","","0.082152","","7520","32","306","complete","","","0.120913",""
"Huub_free_no_gen_bounds","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp16_true.dzn","SATISFIED","0.7668898338451982","0.297605","1","","7040","66628","","64","2614","1077","results_rect","2112","","","1360","69","0","4512","7334","0","","","2108","83","2603","","","satisfy","","0.073444","","6592","32","282","complete","","","0.154688",""
"Huub_free_s+o","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp28_true.dzn","SATISFIED","33.52186093851924","1.17555","1","","33908","7301360","","112","72697","94908","results_rect","10444","","","127731","141","0","22064","34575","0","","","2322","3121","11991","","","satisfy","","0.34906","","32452","56","655","complete","","","31.36779",""
"Huub_free_no_gen_bounds","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp25_false.dzn","SATISFIED","26.365225066430867","0.874841","1","","24048","5213890","","96","47485","79649","results_rect","7344","","","101858","121","0","15600","24610","0","","","203","2003","8575","","","satisfy","","0.247744","","22896","48","550","complete","","","24.735581",""
"Huub_vsids_s+o","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp19_false.dzn","SATISFIED","1.1577901598066092","0.417283","1","","11016","103425","","72","8259","0","results_rect","3312","","","1471","85","0","7092","11390","0","","","3319","1","4015","","","satisfy","","0.110926","","10368","36","362","complete","","","0.33976",""
"chuffed","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp21_false.dzn","SATISFIED","17.894776268862188","0.116479","1","132118","","55491142","14148","80","","","results_rect","350","136679","124","132118","","","840","996","0","0.0","4540","20","0","103","","14274","satisfy","-821550734","0.024","0.04","960","40","1787","","0.0","","17.58",""
"Huub_user_no_gen_bounds","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp20_true.dzn","SATISFIED","4.913540682755411","0.519935","1","","13140","1105636","","80","0","25722","results_rect","3980","","","25643","93","0","8480","13545","0","","","21","0","4759","","","satisfy","","0.142269","","12420","40","393","complete","","","3.925121",""
"Huub_vsids_m+o","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp20_false.dzn","SATISFIED","1.3005477283149958","0.459514","1","","12502","176017","","76","14303","0","results_rect","3762","","","2786","91","0","8056","12901","0","","","3776","2","4543","","","satisfy","","0.124485","","11780","38","387","complete","","","0.398188",""
"Huub_free_s+o","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp23_true.dzn","SATISFIED","7.9683744525536895","0.758651","1","","19803","1999374","","92","16170","33471","results_rect","6049","","","39756","111","0","12834","20305","0","","","83","1291","7086","","","satisfy","","0.197345","","18837","46","490","complete","","","6.588854",""
"Huub_free_no_gen_bounds","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp29_false.dzn","SATISFIED","56.392408680170774","1.25812","1","","36736","10915341","","112","114812","138375","results_rect","11312","","","208707","145","0","23912","37440","0","","","2198","3781","12975","","","satisfy","","0.372914","","35168","56","692","complete","","","54.075941",""
"Huub_free_basic","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp29_false.dzn","SATISFIED","46.42127492837608","1.21987","1","","36736","10540953","","112","108058","137315","results_rect","11312","","","207471","145","0","23912","37440","0","","","1923","3163","12975","","","satisfy","","0.370441","","35168","56","692","complete","","","44.166893",""
"Huub_free_no_gen_bounds","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp16_false.dzn","SATISFIED","0.7534407339990139","0.287486","1","","6615","66248","","60","2463","1076","results_rect","1965","","","1360","67","0","4230","6903","0","","","1957","83","2458","","","satisfy","","0.068617","","6165","30","276","complete","","","0.148862",""
"Huub_free_s+o","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp18_true.dzn","SATISFIED","1.3442743485793471","0.381932","1","","9738","237336","","72","5147","2665","results_rect","2934","","","4502","81","0","6264","10085","0","","","2934","75","3561","","","satisfy","","0.099304","","9162","36","335","complete","","","0.577607",""
"gecode","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp21_true.dzn","SATISFIED","48.28376539517194","0.089741","1","","","47449353","","168","","","results_rect","126","2853398","","1426665","","","","247","0","","","56","0","105","1","275","satisfy","","0.002087","","168","84","375","","","","48.0703",""
"Huub_vsids_basic","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp16_true.dzn","SATISFIED","0.6983664110302925","0.298545","1","","7040","49214","","64","3264","0","results_rect","2112","","","937","69","0","4512","7334","0","","","2114","0","2603","","","satisfy","","0.073788","","6592","32","282","complete","","","0.096369",""
"Huub_vsids_m+s","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp16_false.dzn","SATISFIED","0.6325433701276779","0.273602","1","","6615","35086","","60","2873","0","results_rect","1965","","","697","67","0","4230","6903","0","","","1971","0","2458","","","satisfy","","0.065505","","6165","30","276","complete","","","0.079144",""
"Huub_vsids_no_gen_bounds","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp24_false.dzn","SATISFIED","1.869672597385943","0.759512","1","","21022","150004","","92","14733","0","results_rect","6394","","","1521","115","0","13616","21545","0","","","6502","1","7527","","","satisfy","","0.203273","","19964","46","511","complete","","","0.442683",""
"Huub_user_m+s","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp18_false.dzn","SATISFIED","3.3994440101087093","0.356626","1","","9214","904956","","68","0","24728","results_rect","2754","","","24671","79","0","5916","9555","0","","","18","0","3383","","","satisfy","","0.094645","","8636","34","329","complete","","","2.678206",""
"Huub_free_basic","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp18_true.dzn","SATISFIED","1.3000352140516043","0.381468","1","","9738","244690","","72","8032","2664","results_rect","2934","","","4482","81","0","6264","10085","0","","","2940","73","3561","","","satisfy","","0.097939","","9162","36","335","complete","","","0.540082",""
"Huub_free_basic","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp19_true.dzn","SATISFIED","2.6073562745004892","0.43894","1","","11609","601825","","76","5582","10305","results_rect","3515","","","14331","87","0","7486","11989","0","","","327","287","4216","","","satisfy","","0.115536","","10963","38","368","complete","","","1.691834",""
"gecode","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp17_false.dzn","SATISFIED","0.33459437172859907","0.095315","1","","","205015","","128","","","results_rect","96","8209","","4093","","","","189","0","","","29","0","79","1","211","satisfy","","0.001733","","128","64","287","","","","0.105675",""
"Huub_user_s+o","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp17_true.dzn","SATISFIED","0.8396005034446716","0.349376","1","","8517","53608","","68","2533","1358","results_rect","2567","","","1343","75","0","5474","8841","0","","","2548","0","3124","","","satisfy","","0.087918","","8007","34","312","complete","","","0.125043",""
"cp-sat","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp17_false.dzn","ALL_SOLUTIONS","0.34127500373870134","0.101669","1","","","85732","136","128","","","results_rect","96","","","1674","","","","189","0","","","","","79","","","satisfy","","","","128","64","","","","0","0.095803","0"
"Huub_free_m+s","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp17_false.dzn","SATISFIED","0.7845005011186004","0.321574","1","","8032","65417","","64","2736","1327","results_rect","2400","","","1501","73","0","5152","8350","0","","","2381","64","2959","","","satisfy","","0.080146","","7520","32","306","complete","","","0.147169",""
"Huub_vsids_m+s","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp21_false.dzn","SATISFIED","1.548541502095759","0.531253","1","","14620","203234","","80","11871","0","results_rect","4420","","","2607","97","0","9440","15053","0","","","4475","2","5283","","","satisfy","","0.141554","","13820","40","421","complete","","","0.529777",""
"chuffed","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp24_true.dzn","SATISFIED","905.4448583172634","0.132273","1","5398849","","2690601105","20862","96","","","results_rect","468","5590612","148","5398849","","","1200","1386","0","0.0","191738","29","0","123","","21012","satisfy","-201246740","0.035","0.05","1344","48","2527","","0.0","","904.999",""
"Huub_user_s+o","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp23_false.dzn","SATISFIED","777.270115474239","0.741204","1","","18964","110886662","","88","0","3361462","results_rect","5764","","","3357281","109","0","12276","19460","0","","","21","0","6803","","","satisfy","","0.188389","","17996","44","484","complete","","","775.895956",""
"Huub_free_basic","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp16_true.dzn","SATISFIED","0.7334045171737671","0.308037","1","","7040","64767","","64","2581","1087","results_rect","2112","","","1339","69","0","4512","7334","0","","","2101","79","2603","","","satisfy","","0.071874","","6592","32","282","complete","","","0.121586",""
"Huub_vsids_basic","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp23_true.dzn","SATISFIED","1.8797203116118908","0.763043","1","","19803","218239","","92","21341","0","results_rect","6049","","","2796","111","0","12834","20305","0","","","6078","3","7086","","","satisfy","","0.197832","","18837","46","490","complete","","","0.472602",""
"Huub_user_m+s","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp27_true.dzn","UNKNOWN","1200.6798758078367","1.07244","0","","31131","155860948","","108","0","4186233","results_rect","9585","","","4176791","135","0","20250","31769","0","","","19","0","11022","","","satisfy","","0.319576","","29781","54","626","complete","","","1198.604025",""
"Huub_vsids_s+o","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp16_false.dzn","SATISFIED","0.7068126117810607","0.289069","1","","6615","34710","","60","2812","0","results_rect","1965","","","648","67","0","4230","6903","0","","","1962","0","2458","","","satisfy","","0.066956","","6165","30","276","complete","","","0.076829",""
"Huub_user_m+s","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/rpp26_false.dzn","UNKNOWN","1200.6878458615392","1.10778","0","","26425","143927679","","100","0","4307767","results_rect","8075","","","4302161","127","0","17150","27015","0","","","16","0","9408","","","satisfy","","0.269789","","25175","50","578","complete","","","1198.621094",""
"Huub_user_m+o","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/rpp26_false.dzn","UNKNOWN","1200.5413130922243","1.00712","0","","26425","143886508","","100","0","4306513","results_rect","8075","","","4300908","127","0","17150","27015","0","","","16","0","9408","","","satisfy","","0.271338","","25175","50","578","complete","","","1198.718115",""
